Address,Zip,Phone,zip_final
6403 COYLE AVE,956080361,9166793590,95608
1485 RIVER PARK DR,958154530,9163251040,95815
4221 S WESTERN,731093499,4056446464,73109
134 HOMER AVE,130451206,6077588019,13045
7690 DISCOVERY DR,450696557,5134757425,45069
234 GOODMAN ST,452192364,5135841000,45219
8635 W 3RD ST,900486101,3109671884,90048
2146 W ADAMS BLVD,900182039,3237662170,90018
2515 SW STATE ST,500237079,NA,50023
301 E HILLCREST AVE,501259027,5159613700,50125
1660 60TH ST,502667700,5153431000,50266
1221 PLEASANT ST,503091424,NA,50309
1221 PLEASANT ST,503091426,5152414200,50309
1200 PLEASANT ST,503091453,NA,50309
700 E UNIVERSITY AVE,503162392,5152635612,50316
4480 UTICA RIDGE RD,527221644,NA,52722
200 LOTHROP ST,152132536,NA,15213
3471 5TH AVE,152133215,NA,15213
3459 5TH AVE,152133236,4126486161,15213
3459 5TH AVE,152133236,4128023043,15213
3601 5TH AVE,152133403,NA,15213
1211 WILMINGTON AVE,161052516,NA,16105
1211 WLMNGTN AVE GRND FLR,161052516,7246564660,16105
2200 MEMORIAL DR,161211357,NA,16121
100 FAIRFIELD DR,163462130,NA,16346
1365 CLIFTON RD NE,303221013,4047787525,30322
105 RAIDER BLVD,88441528,9082810221,88441
1700 6TH AVE SO,352331802,2059343460,35233
1500 E MEDICAL CTR DR 3RD FL TAUBMAN CTR RECP A,481095000,7346477321,48109
1500 E MEDICAL CTR DR,481095000,NA,48109
1500 E MEDICAL CTR DR 1ST FL REC D,481095000,7347645175,48109
110 N 175TH ST,681183549,4025964200,68118
1365 CLIFTON RD NE,303221013,4047787525,30322
200 MEDICAL PLAZA,900950001,3102066232,90095
75 FRANCIS ST,21156110,6177325500,21156
2415 PARKWOOD DR,315204722,9124664079,31520
111 E 210TH ST,104672401,7189204321,10467
4343 N JOSEY LN,750104603,NA,75010
1105 CENTRAL EXPRESSWAY N,750136103,NA,75013
5680 FRISCO SQUARE BLVD,750343316,NA,75034
4500 MEDICAL CTR DR,750691650,NA,75069
3901 W 15TH ST,750757738,NA,75075
2035 TECHNOLOGY PKWY,170509497,NA,17050
111 S FRONT ST,171012010,NA,17101
205 S FRONT ST 4TH FLOOR BMA,171041619,NA,17104
205 S FRONT ST,171041619,7179889370,17104
205 S FRONT ST,171041619,7172318360,17104
805 SIR THOMAS CT,171094839,NA,17109
805 SIR THOMAS CT,171094839,7176573030,17109
810 SIR THOMAS CT,171094839,7179880611,17109
4300 LONDONDERRY RD,171095317,NA,17109
2501 N 3RD ST 2ND FLR LANDIS BLDG,171101904,7179881672,17110
2501 N 3RD ST FL,171101904,7177822100,17110
2501 N 3RD ST 2ND FL KLINE HC,171101904,7177822363,17110
1399 ROXBURY DR,900354709,3105779896,90035
2020 SANTA MONICA BLVD,904042023,3104582381,90404
2020 SANTA MONICA BLVD,904042023,3105826220,90404
298 WASHINGTON ST,19304832,9782816460,19304
298 WASHINGTON ST,19304832,9782837580,19304
ESDALE MEDICAL GROUP,19304832,9782832726,19304
14040 SANFORD AVE,113552556,7186180401,11355
108 E CORRAL AVE,996697524,9077145640,99669
555 W COURT ST,609013673,8159372015,60901
43494 WOODWARD AVE,483025053,2483324629,48302
13170 RAVENNA RD,440247022,4402857874,44024
164 WILLOW AVE,125181329,8455348271,12518
890 W FARIS RD,296054291,8644559033,29605
2 A CLEVELAND COURT,296072414,8642717761,29607
971 LAKELAND DR,392164609,6012004714,39216
3181 SW SAM JACKSON PARK RD,972393011,NA,97239
3303 SW BOND AVE,972394501,NA,97239
220 HAMBURG TPKE,74702151,9733899975,74702
618 W AVE,68504008,2038529525,68504
6027 WALNUT GROVE RD,381202128,9016810778,38120
7601 SOUTHCREST PKWY DR,386714742,6623494000,38671
1015 CHESTNUT ST,191074310,2159557785,19107
505 PARNASSUS AVE,941432204,4154764029,94143
400 PARNASSUS AVE,941430810,4154761000,94143
335 GLESSNER AVE,449032269,4195268044,44903
25250 KELLY RD,480664473,5867774668,48066
3601 W 13 MILE RD BCC,480736712,2485513300,48073
3601 W 13 MILE RD,480736712,NA,48073
218 SUNSET RD,80461110,2153559634,80461
17 E 102ND ST,100295204,2126598551,10029
1 GUSTAVE L LEVY PLACE,100296500,2126598551,10029
18181 OAKWOOD BLVD,481244082,NA,48124
18101 OAKWOOD BLVD,481244089,3134362898,48124
12100 S HURON RIVER DR,481741119,7349411070,48174
514 ROUTE 299,125282835,8453315161,12528
45 READE PL,126013947,NA,12601
21 READE PL,126013950,8452141821,12601
100 GREATSTONE PT,405043274,8592579800,40504
2400 GREATSTONE PT,405043274,NA,40504
310 S LIMESTONE,405083008,NA,40508
310 S LIMESTONE ST,405083008,8592267750,40508
800 ROSE ST,405360001,8593235000,40536
830 S LIMESTONE,405360001,8593230303,40536
200 STRAHL ST,370643556,6157911103,37064
240 PARSONS AVE,432155331,6146456792,43215
50 ALESSANDRO PL,911053105,6267936133,91105
8042 WURZBACH RD,782293856,2104908941,78229
900 23RD ST NW,200372342,2027154000,20037
7600 CARROLL AVE,209126367,3018916556,20912
5050 NE HOYT,972132984,5032156405,97213
5050 NE HOYT ST,972132984,NA,97213
9205 SW BARNES RD MT,972256603,5032162621,97225
9205 SW BARNES RD,972256603,NA,97225
9155 SW BARNES RD,972256630,NA,97225
2400 MOUNT ZION PKWY,302362500,7706033685,30236
2470 MOUNT ZION PKWY,302362500,7705279031,30236
3495 PIEDMONT RD NE,303051736,4043647206,30305
2525 CUMBERLAND PKWY SE,303393915,7704314235,30339
1000 JOHNSON FERRY RD,303421606,4048518000,30342
1381 WESTGATE CTR DR,271032934,3367180100,27103
1860 TOWN CTR DR,201905899,NA,20190
